"long","lat","order","hole","piece","group","id","lab"
-502057.66027832,6829392.58312988,22,FALSE,"1","Cardiff.1","Cardiff","a"
-491400.67041016,6847813.72412109,23,FALSE,"1","Cardiff.1","Cardiff","b"
-470119.89007568,6847794.36132813,24,FALSE,"1","Cardiff.1","Cardiff","c"
-459495.53820801,6829355.05987549,25,FALSE,"1","Cardiff.1","Cardiff","d"
-470152.23339844,6810935.11309815,26,FALSE,"1","Cardiff.1","Cardiff","e"
-491433.17889404,6810953.27191162,27,FALSE,"1","Cardiff.1","Cardiff","f"
-502057.66027832,6829392.58312988,28,FALSE,"1","Cardiff.1","Cardiff","g"
-465861.16027832,6850641.68312988,22,FALSE,"1","Newport.1","Newport","a"
-455204.17041016,6869062.82412109,23,FALSE,"1","Newport.1","Newport","b"
-433923.39007568,6869043.46132813,24,FALSE,"1","Newport.1","Newport","c"
-423299.03820801,6850604.15987549,25,FALSE,"1","Newport.1","Newport","d"
-433955.73339844,6832184.21309815,26,FALSE,"1","Newport.1","Newport","e"
-455236.67889404,6832202.37191162,27,FALSE,"1","Newport.1","Newport","f"
-465861.16027832,6850641.68312988,28,FALSE,"1","Newport.1","Newport","g"
-429664.66027832,6871890.78312988,22,FALSE,"1","Monmouthshire.1","Monmouthshire","a"
-419007.67041016,6890311.92412109,23,FALSE,"1","Monmouthshire.1","Monmouthshire","b"
-397726.89007568,6890292.56132813,24,FALSE,"1","Monmouthshire.1","Monmouthshire","c"
-387102.53820801,6871853.25987549,25,FALSE,"1","Monmouthshire.1","Monmouthshire","d"
-397759.23339844,6853433.31309815,26,FALSE,"1","Monmouthshire.1","Monmouthshire","e"
-419040.17889404,6853451.47191162,27,FALSE,"1","Monmouthshire.1","Monmouthshire","f"
-429664.66027832,6871890.78312988,28,FALSE,"1","Monmouthshire.1","Monmouthshire","g"
-465861.16027832,6893139.88312988,22,FALSE,"1","Torfaen.1","Torfaen","a"
-455204.17041016,6911561.02412109,23,FALSE,"1","Torfaen.1","Torfaen","b"
-433923.39007568,6911541.66132813,24,FALSE,"1","Torfaen.1","Torfaen","c"
-423299.03820801,6893102.35987549,25,FALSE,"1","Torfaen.1","Torfaen","d"
-433955.73339844,6874682.41309815,26,FALSE,"1","Torfaen.1","Torfaen","e"
-455236.67889404,6874700.57191162,27,FALSE,"1","Torfaen.1","Torfaen","f"
-465861.16027832,6893139.88312988,28,FALSE,"1","Torfaen.1","Torfaen","g"
-502057.66027832,6914388.98312988,22,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","a"
-491400.67041016,6932810.12412109,23,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","b"
-470119.89007568,6932790.76132813,24,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","c"
-459495.53820801,6914351.45987549,25,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","d"
-470152.23339844,6895931.51309815,26,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","e"
-491433.17889404,6895949.67191162,27,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","f"
-502057.66027832,6914388.98312988,28,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","g"
-502057.66027832,6871826.98312988,22,FALSE,"1","Caerphilly.1","Caerphilly","a"
-491400.67041016,6890248.12412109,23,FALSE,"1","Caerphilly.1","Caerphilly","b"
-470119.89007568,6890228.76132813,24,FALSE,"1","Caerphilly.1","Caerphilly","c"
-459495.53820801,6871789.45987549,25,FALSE,"1","Caerphilly.1","Caerphilly","d"
-470152.23339844,6853369.51309815,26,FALSE,"1","Caerphilly.1","Caerphilly","e"
-491433.17889404,6853387.67191162,27,FALSE,"1","Caerphilly.1","Caerphilly","f"
-502057.66027832,6871826.98312988,28,FALSE,"1","Caerphilly.1","Caerphilly","g"
-538254.16027832,6850577.88312988,22,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","a"
-527597.17041016,6868999.02412109,23,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","b"
-506316.39007568,6868979.66132813,24,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","c"
-495692.03820801,6850540.35987549,25,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","d"
-506348.73339844,6832120.41309815,26,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","e"
-527629.67889404,6832138.57191162,27,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","f"
-538254.16027832,6850577.88312988,28,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","g"
-538254.16027832,6893139.88312988,22,FALSE,"1","RCT.1","RCT","a"
-527597.17041016,6911561.02412109,23,FALSE,"1","RCT.1","RCT","b"
-506316.39007568,6911541.66132813,24,FALSE,"1","RCT.1","RCT","c"
-495692.03820801,6893102.35987549,25,FALSE,"1","RCT.1","RCT","d"
-506348.73339844,6874682.41309815,26,FALSE,"1","RCT.1","RCT","e"
-527629.67889404,6874700.57191162,27,FALSE,"1","RCT.1","RCT","f"
-538254.16027832,6893139.88312988,28,FALSE,"1","RCT.1","RCT","g"
-574450.66027832,6871890.78312988,22,FALSE,"1","Bridgend.1","Bridgend","a"
-563793.67041016,6890311.92412109,23,FALSE,"1","Bridgend.1","Bridgend","b"
-542512.89007568,6890292.56132813,24,FALSE,"1","Bridgend.1","Bridgend","c"
-531888.53820801,6871853.25987549,25,FALSE,"1","Bridgend.1","Bridgend","d"
-542545.23339844,6853433.31309815,26,FALSE,"1","Bridgend.1","Bridgend","e"
-563826.17889404,6853451.47191162,27,FALSE,"1","Bridgend.1","Bridgend","f"
-574450.66027832,6871890.78312988,28,FALSE,"1","Bridgend.1","Bridgend","g"
-574450.66027832,6914452.78312988,22,FALSE,"1","NPT.1","NPT","a"
-563793.67041016,6932873.92412109,23,FALSE,"1","NPT.1","NPT","b"
-542512.89007568,6932854.56132813,24,FALSE,"1","NPT.1","NPT","c"
-531888.53820801,6914415.25987549,25,FALSE,"1","NPT.1","NPT","d"
-542545.23339844,6895995.31309815,26,FALSE,"1","NPT.1","NPT","e"
-563826.17889404,6896013.47191162,27,FALSE,"1","NPT.1","NPT","f"
-574450.66027832,6914452.78312988,28,FALSE,"1","NPT.1","NPT","g"
-610647.16027832,6893203.68312988,22,FALSE,"1","Swansea.1","Swansea","a"
-599990.17041016,6911624.82412109,23,FALSE,"1","Swansea.1","Swansea","b"
-578709.39007568,6911605.46132813,24,FALSE,"1","Swansea.1","Swansea","c"
-568085.03820801,6893166.15987549,25,FALSE,"1","Swansea.1","Swansea","d"
-578741.73339844,6874746.21309815,26,FALSE,"1","Swansea.1","Swansea","e"
-600022.67889404,6874764.37191162,27,FALSE,"1","Swansea.1","Swansea","f"
-610647.16027832,6893203.68312988,28,FALSE,"1","Swansea.1","Swansea","g"
-610647.16027832,6935765.68312988,22,FALSE,"1","Carmarthenshire.1","Carmarthenshire","a"
-599990.17041016,6954186.82412109,23,FALSE,"1","Carmarthenshire.1","Carmarthenshire","b"
-578709.39007568,6954167.46132813,24,FALSE,"1","Carmarthenshire.1","Carmarthenshire","c"
-568085.03820801,6935728.15987549,25,FALSE,"1","Carmarthenshire.1","Carmarthenshire","d"
-578741.73339844,6917308.21309815,26,FALSE,"1","Carmarthenshire.1","Carmarthenshire","e"
-600022.67889404,6917326.37191162,27,FALSE,"1","Carmarthenshire.1","Carmarthenshire","f"
-610647.16027832,6935765.68312988,28,FALSE,"1","Carmarthenshire.1","Carmarthenshire","g"
-646843.66027832,6914516.58312988,22,FALSE,"1","Pembrokeshire.1","Pembrokeshire","a"
-636186.67041016,6932937.72412109,23,FALSE,"1","Pembrokeshire.1","Pembrokeshire","b"
-614905.89007568,6932918.36132813,24,FALSE,"1","Pembrokeshire.1","Pembrokeshire","c"
-604281.53820801,6914479.05987549,25,FALSE,"1","Pembrokeshire.1","Pembrokeshire","d"
-614938.23339844,6896059.11309815,26,FALSE,"1","Pembrokeshire.1","Pembrokeshire","e"
-636219.17889404,6896077.27191162,27,FALSE,"1","Pembrokeshire.1","Pembrokeshire","f"
-646843.66027832,6914516.58312988,28,FALSE,"1","Pembrokeshire.1","Pembrokeshire","g"
-574450.66027832,6957014.78312988,22,FALSE,"1","Ceredigion.1","Ceredigion","a"
-563793.67041016,6975435.92412109,23,FALSE,"1","Ceredigion.1","Ceredigion","b"
-542512.89007568,6975416.56132813,24,FALSE,"1","Ceredigion.1","Ceredigion","c"
-531888.53820801,6956977.25987549,25,FALSE,"1","Ceredigion.1","Ceredigion","d"
-542545.23339844,6938557.31309815,26,FALSE,"1","Ceredigion.1","Ceredigion","e"
-563826.17889404,6938575.47191162,27,FALSE,"1","Ceredigion.1","Ceredigion","f"
-574450.66027832,6957014.78312988,28,FALSE,"1","Ceredigion.1","Ceredigion","g"
-574450.66027832,6999576.78312988,22,FALSE,"1","Gwynedd.1","Gwynedd","a"
-563793.67041016,7017997.92412109,23,FALSE,"1","Gwynedd.1","Gwynedd","b"
-542512.89007568,7017978.56132813,24,FALSE,"1","Gwynedd.1","Gwynedd","c"
-531888.53820801,6999539.25987549,25,FALSE,"1","Gwynedd.1","Gwynedd","d"
-542545.23339844,6981119.31309815,26,FALSE,"1","Gwynedd.1","Gwynedd","e"
-563826.17889404,6981137.47191162,27,FALSE,"1","Gwynedd.1","Gwynedd","f"
-574450.66027832,6999576.78312988,28,FALSE,"1","Gwynedd.1","Gwynedd","g"
-610647.16027832,7020825.88312988,22,FALSE,"1","Anglesey.1","Anglesey","a"
-599990.17041016,7039247.02412109,23,FALSE,"1","Anglesey.1","Anglesey","b"
-578709.39007568,7039227.66132813,24,FALSE,"1","Anglesey.1","Anglesey","c"
-568085.03820801,7020788.35987549,25,FALSE,"1","Anglesey.1","Anglesey","d"
-578741.73339844,7002368.41309815,26,FALSE,"1","Anglesey.1","Anglesey","e"
-600022.67889404,7002386.57191162,27,FALSE,"1","Anglesey.1","Anglesey","f"
-610647.16027832,7020825.88312988,28,FALSE,"1","Anglesey.1","Anglesey","g"
-538254.16027832,7020825.88312988,22,FALSE,"1","Conwy.1","Conwy","a"
-527597.17041016,7039247.02412109,23,FALSE,"1","Conwy.1","Conwy","b"
-506316.39007568,7039227.66132813,24,FALSE,"1","Conwy.1","Conwy","c"
-495692.03820801,7020788.35987549,25,FALSE,"1","Conwy.1","Conwy","d"
-506348.73339844,7002368.41309815,26,FALSE,"1","Conwy.1","Conwy","e"
-527629.67889404,7002386.57191162,27,FALSE,"1","Conwy.1","Conwy","f"
-538254.16027832,7020825.88312988,28,FALSE,"1","Conwy.1","Conwy","g"
-502057.66027832,7042074.98312988,22,FALSE,"1","Denbighshire.1","Denbighshire","a"
-491400.67041016,7060496.12412109,23,FALSE,"1","Denbighshire.1","Denbighshire","b"
-470119.89007568,7060476.76132813,24,FALSE,"1","Denbighshire.1","Denbighshire","c"
-459495.53820801,7042037.45987549,25,FALSE,"1","Denbighshire.1","Denbighshire","d"
-470152.23339844,7023617.51309815,26,FALSE,"1","Denbighshire.1","Denbighshire","e"
-491433.17889404,7023635.67191162,27,FALSE,"1","Denbighshire.1","Denbighshire","f"
-502057.66027832,7042074.98312988,28,FALSE,"1","Denbighshire.1","Denbighshire","g"
-465861.16027832,7020825.88312988,22,FALSE,"1","Flintshire.1","Flintshire","a"
-455204.17041016,7039247.02412109,23,FALSE,"1","Flintshire.1","Flintshire","b"
-433923.39007568,7039227.66132813,24,FALSE,"1","Flintshire.1","Flintshire","c"
-423299.03820801,7020788.35987549,25,FALSE,"1","Flintshire.1","Flintshire","d"
-433955.73339844,7002368.41309815,26,FALSE,"1","Flintshire.1","Flintshire","e"
-455236.67889404,7002386.57191162,27,FALSE,"1","Flintshire.1","Flintshire","f"
-465861.16027832,7020825.88312988,28,FALSE,"1","Flintshire.1","Flintshire","g"
-502057.66027832,6999576.78312988,22,FALSE,"1","Wrexham.1","Wrexham","a"
-491400.67041016,7017997.92412109,23,FALSE,"1","Wrexham.1","Wrexham","b"
-470119.89007568,7017978.56132813,24,FALSE,"1","Wrexham.1","Wrexham","c"
-459495.53820801,6999539.25987549,25,FALSE,"1","Wrexham.1","Wrexham","d"
-470152.23339844,6981119.31309815,26,FALSE,"1","Wrexham.1","Wrexham","e"
-491433.17889404,6981137.47191162,27,FALSE,"1","Wrexham.1","Wrexham","f"
-502057.66027832,6999576.78312988,28,FALSE,"1","Wrexham.1","Wrexham","g"
-538254.16027832,6978263.88312988,22,FALSE,"1","Powys.1","Powys","a"
-527597.17041016,6996685.02412109,23,FALSE,"1","Powys.1","Powys","b"
-506316.39007568,6996665.66132813,24,FALSE,"1","Powys.1","Powys","c"
-495692.03820801,6978226.35987549,25,FALSE,"1","Powys.1","Powys","d"
-506348.73339844,6959806.41309815,26,FALSE,"1","Powys.1","Powys","e"
-527629.67889404,6959824.57191162,27,FALSE,"1","Powys.1","Powys","f"
-538254.16027832,6978263.88312988,28,FALSE,"1","Powys.1","Powys","g"
-538254.16027832,6935701.88312988,22,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","a"
-527597.17041016,6954123.02412109,23,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","b"
-506316.39007568,6954103.66132813,24,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","c"
-495692.03820801,6935664.35987549,25,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","d"
-506348.73339844,6917244.41309815,26,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","e"
-527629.67889404,6917262.57191162,27,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","f"
-538254.16027832,6935701.88312988,28,FALSE,"1","Merthyr_Tudful.1","Merthyr_Tudful","g"
